AWS Extension Dependency,Function category,complexity,Efforts(Hours)
aws_oracle_ext.v$version,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.v$nls_parameters,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.v$instance,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.utl_url$unescape,URL_PROCESSING_ESCAPE,MEDIUM,2
aws_oracle_ext.utl_url$escape,URL_PROCESSING_ESCAPE,MEDIUM,2
aws_oracle_ext.utl_smtp$write_raw_data,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$write_data,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$starttls,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$rset,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$reply,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$replies,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$rcpt,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$quit,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$open_data,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$open_connection,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$open_connection,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$noop,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$mail,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$helo,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$ehlo,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$data,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$connection,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$connection,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$close_data,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$close_connection,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$auth,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_file$put_raw,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$put_line,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$putf,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$put,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$new_line,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$is_open,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$get_raw,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$get_line,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$fremove,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$fopen,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$file_type,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$file_type,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$fhstorage,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$fcopy,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$fclose_all,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$fclose,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$exceptions,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_encode$text_encode,UTL_ENCODING_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_encode$text_decode,UTL_ENCODING_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_encode$quoted_printable,UTL_ENCODING_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_encode$mimeheader_encode,UTL_ENCODING_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_encode$mimeheader_decode,UTL_ENCODING_PROCESSING,COMPLEX,4
aws_oracle_ext.unistr,STRING_FUNCTION,SIMPLE,1
aws_oracle_ext.trim,STRING_FUNCTION,SIMPLE,1
aws_oracle_ext.to_number_formatter,CONVERSION_FUNCTION,MEDIUM,2
aws_oracle_ext.to_number,CONVERSION_FUNCTION,SIMPLE,1
aws_oracle_ext.to_date_formatter,CONVERSION_FUNCTION,MEDIUM,2
aws_oracle_ext.to_date,CONVERSION_FUNCTION,SIMPLE,1
aws_oracle_ext.to_char_parser,CONVERSION_FUNCTION,SIMPLE,1
aws_oracle_ext.to_char_formatter,CONVERSION_FUNCTION,MEDIUM,2
aws_oracle_ext.to_char,CONVERSION_FUNCTION,SIMPLE,1
aws_oracle_ext.sys_user_views,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_users,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_triggers,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_tables,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_tab_comments,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_tab_columns,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_tab_cols,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_source,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_sequences,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_policies,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_objects,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_indexes,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_ind_columns,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_constraints,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_cons_columns,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_user_col_comments,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.systimestamp,DATE_FUNCTION,SIMPLE,1
aws_oracle_ext.sys_guid,UUID_PROCESSING,SIMPLE,1
aws_oracle_ext.sys_dba_views,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_users,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_triggers,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_tables,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_tab_comments,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_tab_columns,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_tab_cols,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_source,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_sequences,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_roles,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_policies,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_objects,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_indexes,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_ind_columns,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_constraints,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_dba_cons_columns,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sysdate,DATE_FUNCTION,SIMPLE,1
aws_oracle_ext.sys_anydata$gettypename,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertvarchar,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertvarchar,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$converturowid,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$converttimestamptz,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$converttimestampltz,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$converttimestamp,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertraw,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertnvarchar,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertnumber,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertnclob,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertnchar,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertintervalym,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertintervalds,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertdate,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertclob,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertchar,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertblob,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertbfloat,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertbfile,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$convertbdouble,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessvarchar,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessvarchar,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessurowid,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accesstimestamptz,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accesstimestampltz,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accesstimestamp,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessraw,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessnvarchar,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessnumber,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessnclob,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessnchar,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessintervalym,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessintervalds,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessdate,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessclob,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accesschar,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessblob,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessbfloat,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessbfile,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_anydata$accessbdouble,ANYDATA_PROCESSING,COMPLEX,4
aws_oracle_ext.sys_all_views,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_users,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_triggers,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_tables,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_tab_comments,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_tab_columns,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_tab_cols,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_source,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_sequences,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_policies,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_objects,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_indexes,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_ind_columns,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_constraints,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.sys_all_cons_columns,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.substrb,STRING_FUNCTION,SIMPLE,1
aws_oracle_ext.substr,STRING_FUNCTION,SIMPLE,1
aws_oracle_ext.sqs_remove_nodata,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_remove,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_ready,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_queues_tables_id_seq,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_queues_tables,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_queues_settings,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_queue_record,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_queue_fifo,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_queue_body,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_processed,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_persistent,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_on_commit,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_ntfn_grouping_type_summary,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_ntfn_grouping_type_last,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_ntfn_grouping_forever,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_no_wait,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_normal_queue,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_none,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_no_delay,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_next_message,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_never,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_namespace_aq,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_namespace_anonymous,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_lu_insert_queue_table,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_lu_insert_func_arn,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_lu_inited_queueurl,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_lu_inited_queuetbl,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_lu_inited_funcarn,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_lu_drop_queue_table,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_lu_delete_queue_table,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_lu_delete_queue_message,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_lu_define_type,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_lu_define_table,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_lu_create_queue_table,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_locked,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_init_dbms_aq$message_properties_t,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_init_dbms_aq$enqueue_options_t,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_init_dbms_aq$dequeue_options_t,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_init_aq$_sig_prop,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_init_aq$_agent,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_immediate,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_functions_settings,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_forever,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_first_message,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_expired,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_default_queue_attributes,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_default_error,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_browse,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_before,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_aq$_sig_prop,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_aq_send_message,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_aq_get_messages_body,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_aq_get_message,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_aq_delete_queue,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_aq_delete_message,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_aq_create_queue,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_aq$_agent,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sqs_aa_lambda_payload,AWS_SQS_INTEGRATION,COMPLEX,4
aws_oracle_ext.sql$bulk_exceptions,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.set_version,AWS_EXTENSION_INTERNAL,SIMPLE,1
aws_oracle_ext.set_service_setting,AWS_EXTENSION_INTERNAL,SIMPLE,1
aws_oracle_ext.set_package_variable_object_field,PACKAGE_GLOBALS,COMPLEX,4
aws_oracle_ext.set_package_variable_object,PACKAGE_GLOBALS,COMPLEX,4
aws_oracle_ext.set_package_variable,PACKAGE_GLOBALS,COMPLEX,4
aws_oracle_ext.set_package_uninitialized,PACKAGE_GLOBALS,COMPLEX,4
aws_oracle_ext.set_package_initialized,PACKAGE_GLOBALS,COMPLEX,4
aws_oracle_ext.set_extpack_variable,PACKAGE_GLOBALS,COMPLEX,4
aws_oracle_ext.sessiontimezone,DATE_FUNCTION,SIMPLE,1
aws_oracle_ext.rowidtochar,CONVERSION_FUNCTION,SIMPLE,1
aws_oracle_ext.round,AIRTHMETIC_FUNCTION,SIMPLE,1
aws_oracle_ext.regexp_substr,REGULAR_EXP_FUNCTION,MEDIUM,2
aws_oracle_ext.regexp_replace,REGULAR_EXP_FUNCTION,MEDIUM,2
aws_oracle_ext.regexp_like,REGULAR_EXP_FUNCTION,MEDIUM,2
aws_oracle_ext.regexp_instr,REGULAR_EXP_FUNCTION,MEDIUM,2
aws_oracle_ext.regexp_count,REGULAR_EXP_FUNCTION,MEDIUM,2
aws_oracle_ext.owa_util$status_line,OWA_PACKAGE,COMPLEX,4
aws_oracle_ext.owa_util$redirect_url,OWA_PACKAGE,COMPLEX,4
aws_oracle_ext.owa_util$print_cgi_env,OWA_PACKAGE,COMPLEX,4
aws_oracle_ext.owa_util$mime_header,OWA_PACKAGE,COMPLEX,4
aws_oracle_ext.owa_util$http_header_close,OWA_PACKAGE,COMPLEX,4
aws_oracle_ext.owa_util$get_owa_service_path,OWA_PACKAGE,COMPLEX,4
aws_oracle_ext.owa_util$get_cgi_env,OWA_PACKAGE,COMPLEX,4
aws_oracle_ext.owa$init_cgi_env,OWA_PACKAGE,COMPLEX,4
aws_oracle_ext.owa_cookie$send,OWA_PACKAGE,COMPLEX,4
aws_oracle_ext.owa_cookie$get,OWA_PACKAGE,COMPLEX,4
aws_oracle_ext.ora_exception,ORACLE_EXCEPTION_PROCESSING,MEDIUM,2
aws_oracle_ext.nested_table$set_value,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.nested_table$prior,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.nested_table$next,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.nested_table$last,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.nested_table$get_value,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.nested_table$first,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.nested_table$add_fields_to_array,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.nanvl,AIRTHMETIC_FUNCTION,SIMPLE,1
aws_oracle_ext.months_between,DATE_FUNCTION,SIMPLE,1
aws_oracle_ext.localtimestamp,DATE_FUNCTION,SIMPLE,1
aws_oracle_ext.lnnvl,NULL_FUNCTION,MEDIUM,2
aws_oracle_ext.limit,AWS_EXTENSION_INTERNAL,SIMPLE,1
